source	target	prediction
alice notices daniel <eos>	notice ( alice , daniel ) <eos>	notice ( alice , daniel ) <eos>
alice meets xerxes <eos>	meet ( alice , xerxes ) <eos>	meet ( alice , xerxes ) <eos>
alice throws alice <eos>	throw ( alice , alice ) <eos>	throw ( alice , alice ) <eos>
alice notices herself <eos>	notice ( alice , alice ) <eos>	notice ( alice , alice ) <eos>
alice meets katherine <eos>	meet ( alice , katherine ) <eos>	meet ( alice , katherine ) <eos>
alice likes winnifred <eos>	like ( alice , winnifred ) <eos>	like ( alice , winnifred ) <eos>
alice dislikes patricia <eos>	dislike ( alice , patricia ) <eos>	dislike ( alice , patricia ) <eos>
alice likes lewis <eos>	like ( alice , lewis ) <eos>	like ( alice , lewis ) <eos>
alice throws victor <eos>	throw ( alice , victor ) <eos>	throw ( alice , victor ) <eos>
alice likes margaret <eos>	like ( alice , margaret ) <eos>	like ( alice , margaret ) <eos>
alice sees isla <eos>	see ( alice , isla ) <eos>	see ( alice , isla ) <eos>
alice dislikes margaret <eos>	dislike ( alice , margaret ) <eos>	dislike ( alice , margaret ) <eos>
alice meets alice <eos>	meet ( alice , alice ) <eos>	meet ( alice , alice ) <eos>
alice sees daniel <eos>	see ( alice , daniel ) <eos>	see ( alice , daniel ) <eos>
alice sees henry <eos>	see ( alice , henry ) <eos>	see ( alice , henry ) <eos>
alice throws isla <eos>	throw ( alice , isla ) <eos>	throw ( alice , isla ) <eos>
alice throws margaret <eos>	throw ( alice , margaret ) <eos>	throw ( alice , margaret ) <eos>
alice dislikes victor <eos>	dislike ( alice , victor ) <eos>	dislike ( alice , victor ) <eos>
alice notices yvette <eos>	notice ( alice , yvettte ) <eos>	notice ( alice , yvettte ) <eos>
alice meets grace <eos>	meet ( alice , grace ) <eos>	meet ( alice , grace ) <eos>
alice dislikes quinn <eos>	dislike ( alice , quinn ) <eos>	dislike ( alice , quinn ) <eos>
alice likes xerxes <eos>	like ( alice , xerxes ) <eos>	like ( alice , xerxes ) <eos>
alice knows winnifred <eos>	know ( alice , winnifred ) <eos>	know ( alice , winnifred ) <eos>
alice dislikes zelda <eos>	dislike ( alice , zelda ) <eos>	dislike ( alice , zelda ) <eos>
alice meets patricia <eos>	meet ( alice , patricia ) <eos>	meet ( alice , patricia ) <eos>
alice knows oswald <eos>	know ( alice , oswald ) <eos>	know ( alice , oswald ) <eos>
alice throws rachael <eos>	throw ( alice , rachael ) <eos>	throw ( alice , rachael ) <eos>
alice sees rachael <eos>	see ( alice , rachael ) <eos>	see ( alice , rachael ) <eos>
alice dislikes samuel <eos>	dislike ( alice , samuel ) <eos>	dislike ( alice , samuel ) <eos>
alice sees quinn <eos>	see ( alice , quinn ) <eos>	see ( alice , quinn ) <eos>
alice likes katherine <eos>	like ( alice , katherine ) <eos>	like ( alice , katherine ) <eos>
alice knows neha <eos>	know ( alice , neha ) <eos>	know ( alice , neha ) <eos>
alice dislikes alice <eos>	dislike ( alice , alice ) <eos>	dislike ( alice , alice ) <eos>
alice knows xerxes <eos>	know ( alice , xerxes ) <eos>	know ( alice , xerxes ) <eos>
alice notices victor <eos>	notice ( alice , victor ) <eos>	notice ( alice , victor ) <eos>
alice throws henry <eos>	throw ( alice , henry ) <eos>	throw ( alice , henry ) <eos>
alice notices john <eos>	notice ( alice , john ) <eos>	notice ( alice , john ) <eos>
alice knows samuel <eos>	know ( alice , samuel ) <eos>	know ( alice , samuel ) <eos>
alice meets daniel <eos>	meet ( alice , daniel ) <eos>	meet ( alice , daniel ) <eos>
alice likes rachael <eos>	like ( alice , rachael ) <eos>	like ( alice , rachael ) <eos>
alice dislikes neha <eos>	dislike ( alice , neha ) <eos>	dislike ( alice , neha ) <eos>
alice knows henry <eos>	know ( alice , henry ) <eos>	know ( alice , henry ) <eos>
alice throws eliza <eos>	throw ( alice , eliza ) <eos>	throw ( alice , eliza ) <eos>
alice likes claire <eos>	like ( alice , claire ) <eos>	like ( alice , claire ) <eos>
alice dances <eos>	dance ( alice ) <eos>	dance ( alice ) <eos>
alice sings <eos>	sing ( alice ) <eos>	sing ( alice ) <eos>
alice sleeps <eos>	sleep ( alice ) <eos>	sleep ( alice ) <eos>
alice dislikes claire <eos>	dislike ( alice , claire ) <eos>	dislike ( alice , claire ) <eos>
alice knows tracy <eos>	know ( alice , tracy ) <eos>	know ( alice , tracy ) <eos>
alice likes herself <eos>	like ( alice , alice ) <eos>	like ( alice , alice ) <eos>
alice sees margaret <eos>	see ( alice , margaret ) <eos>	see ( alice , margaret ) <eos>
alice sees herself <eos>	see ( alice , alice ) <eos>	see ( alice , alice ) <eos>
alice sees john <eos>	see ( alice , john ) <eos>	see ( alice , john ) <eos>
alice notices tracy <eos>	notice ( alice , tracy ) <eos>	notice ( alice , tracy ) <eos>
alice knows lewis <eos>	know ( alice , lewis ) <eos>	know ( alice , lewis ) <eos>
alice throws xerxes <eos>	throw ( alice , xerxes ) <eos>	throw ( alice , xerxes ) <eos>
alice sees yvette <eos>	see ( alice , yvettte ) <eos>	see ( alice , yvettte ) <eos>
alice eats <eos>	eat ( alice ) <eos>	eat ( alice ) <eos>
alice runs <eos>	run ( alice ) <eos>	run ( alice ) <eos>
alice flies <eos>	fly ( alice ) <eos>	fly ( alice ) <eos>
alice slumbers <eos>	slumber ( alice ) <eos>	slumber ( alice ) <eos>
alice walks <eos>	walk ( alice ) <eos>	walk ( alice ) <eos>
alice likes ursula <eos>	like ( alice , ursula ) <eos>	like ( alice , ursula ) <eos>
alice meets quinn <eos>	meet ( alice , quinn ) <eos>	meet ( alice , quinn ) <eos>
alice notices ursula <eos>	notice ( alice , ursula ) <eos>	notice ( alice , ursula ) <eos>
alice likes quinn <eos>	like ( alice , quinn ) <eos>	like ( alice , quinn ) <eos>
alice sees alice <eos>	see ( alice , alice ) <eos>	see ( alice , alice ) <eos>
alice meets margaret <eos>	meet ( alice , margaret ) <eos>	meet ( alice , margaret ) <eos>
alice likes isla <eos>	like ( alice , isla ) <eos>	like ( alice , isla ) <eos>
alice throws zelda <eos>	throw ( alice , zelda ) <eos>	throw ( alice , zelda ) <eos>
alice notices lewis <eos>	notice ( alice , lewis ) <eos>	notice ( alice , lewis ) <eos>
alice dislikes grace <eos>	dislike ( alice , grace ) <eos>	dislike ( alice , grace ) <eos>
alice throws patricia <eos>	throw ( alice , patricia ) <eos>	throw ( alice , patricia ) <eos>
alice likes yvette <eos>	like ( alice , yvettte ) <eos>	like ( alice , yvettte ) <eos>
alice dislikes yvette <eos>	dislike ( alice , yvettte ) <eos>	dislike ( alice , yvettte ) <eos>
alice throws katherine <eos>	throw ( alice , katherine ) <eos>	throw ( alice , katherine ) <eos>
alice sees tracy <eos>	see ( alice , tracy ) <eos>	see ( alice , tracy ) <eos>
alice sees katherine <eos>	see ( alice , katherine ) <eos>	see ( alice , katherine ) <eos>
alice sees samuel <eos>	see ( alice , samuel ) <eos>	see ( alice , samuel ) <eos>
alice knows grace <eos>	know ( alice , grace ) <eos>	know ( alice , grace ) <eos>
alice throws oswald <eos>	throw ( alice , oswald ) <eos>	throw ( alice , oswald ) <eos>
alice sees bob <eos>	see ( alice , bob ) <eos>	see ( alice , bob ) <eos>
alice notices neha <eos>	notice ( alice , neha ) <eos>	notice ( alice , neha ) <eos>
alice knows victor <eos>	know ( alice , victor ) <eos>	know ( alice , victor ) <eos>
alice throws tracy <eos>	throw ( alice , tracy ) <eos>	throw ( alice , tracy ) <eos>
alice likes oswald <eos>	like ( alice , oswald ) <eos>	like ( alice , oswald ) <eos>
alice throws john <eos>	throw ( alice , john ) <eos>	throw ( alice , john ) <eos>
alice knows zelda <eos>	know ( alice , zelda ) <eos>	know ( alice , zelda ) <eos>
alice notices quinn <eos>	notice ( alice , quinn ) <eos>	notice ( alice , quinn ) <eos>
alice likes john <eos>	like ( alice , john ) <eos>	like ( alice , john ) <eos>
alice dislikes francis <eos>	dislike ( alice , francis ) <eos>	dislike ( alice , francis ) <eos>
alice throws grace <eos>	throw ( alice , grace ) <eos>	throw ( alice , grace ) <eos>
alice meets bob <eos>	meet ( alice , bob ) <eos>	meet ( alice , bob ) <eos>
alice dislikes tracy <eos>	dislike ( alice , tracy ) <eos>	dislike ( alice , tracy ) <eos>
alice likes daniel <eos>	like ( alice , daniel ) <eos>	like ( alice , daniel ) <eos>
alice throws bob <eos>	throw ( alice , bob ) <eos>	throw ( alice , bob ) <eos>
alice sees oswald <eos>	see ( alice , oswald ) <eos>	see ( alice , oswald ) <eos>
alice throws francis <eos>	throw ( alice , francis ) <eos>	throw ( alice , francis ) <eos>
alice sees neha <eos>	see ( alice , neha ) <eos>	see ( alice , neha ) <eos>
alice likes zelda <eos>	like ( alice , zelda ) <eos>	like ( alice , zelda ) <eos>
alice sees patricia <eos>	see ( alice , patricia ) <eos>	see ( alice , patricia ) <eos>
alice dislikes oswald <eos>	dislike ( alice , oswald ) <eos>	dislike ( alice , oswald ) <eos>
alice notices zelda <eos>	notice ( alice , zelda ) <eos>	notice ( alice , zelda ) <eos>
alice dislikes xerxes <eos>	dislike ( alice , xerxes ) <eos>	dislike ( alice , xerxes ) <eos>
alice knows bob <eos>	know ( alice , bob ) <eos>	know ( alice , bob ) <eos>
alice sees francis <eos>	see ( alice , francis ) <eos>	see ( alice , francis ) <eos>
alice knows katherine <eos>	know ( alice , katherine ) <eos>	know ( alice , katherine ) <eos>
alice knows alice <eos>	know ( alice , alice ) <eos>	know ( alice , alice ) <eos>
alice throws ursula <eos>	throw ( alice , ursula ) <eos>	throw ( alice , ursula ) <eos>
alice meets henry <eos>	meet ( alice , henry ) <eos>	meet ( alice , henry ) <eos>
alice sees winnifred <eos>	see ( alice , winnifred ) <eos>	see ( alice , winnifred ) <eos>
alice knows eliza <eos>	know ( alice , eliza ) <eos>	know ( alice , eliza ) <eos>
alice meets zelda <eos>	meet ( alice , zelda ) <eos>	meet ( alice , zelda ) <eos>
alice dislikes ursula <eos>	dislike ( alice , ursula ) <eos>	dislike ( alice , ursula ) <eos>
alice notices margaret <eos>	notice ( alice , margaret ) <eos>	notice ( alice , margaret ) <eos>
alice likes victor <eos>	like ( alice , victor ) <eos>	like ( alice , victor ) <eos>
alice meets rachael <eos>	meet ( alice , rachael ) <eos>	meet ( alice , rachael ) <eos>
alice sees zelda <eos>	see ( alice , zelda ) <eos>	see ( alice , zelda ) <eos>
alice dislikes katherine <eos>	dislike ( alice , katherine ) <eos>	dislike ( alice , katherine ) <eos>
alice dislikes rachael <eos>	dislike ( alice , rachael ) <eos>	dislike ( alice , rachael ) <eos>
alice dislikes winnifred <eos>	dislike ( alice , winnifred ) <eos>	dislike ( alice , winnifred ) <eos>
alice knows john <eos>	know ( alice , john ) <eos>	know ( alice , john ) <eos>
alice meets victor <eos>	meet ( alice , victor ) <eos>	meet ( alice , victor ) <eos>
alice likes neha <eos>	like ( alice , neha ) <eos>	like ( alice , neha ) <eos>
alice knows daniel <eos>	know ( alice , daniel ) <eos>	know ( alice , daniel ) <eos>
alice meets francis <eos>	meet ( alice , francis ) <eos>	meet ( alice , francis ) <eos>
alice knows francis <eos>	know ( alice , francis ) <eos>	know ( alice , francis ) <eos>
alice dislikes daniel <eos>	dislike ( alice , daniel ) <eos>	dislike ( alice , daniel ) <eos>
alice knows margaret <eos>	know ( alice , margaret ) <eos>	know ( alice , margaret ) <eos>
alice notices winnifred <eos>	notice ( alice , winnifred ) <eos>	notice ( alice , winnifred ) <eos>
alice notices claire <eos>	notice ( alice , claire ) <eos>	notice ( alice , claire ) <eos>
alice meets john <eos>	meet ( alice , john ) <eos>	meet ( alice , john ) <eos>
alice likes tracy <eos>	like ( alice , tracy ) <eos>	like ( alice , tracy ) <eos>
alice meets yvette <eos>	meet ( alice , yvettte ) <eos>	meet ( alice , yvettte ) <eos>
alice throws lewis <eos>	throw ( alice , lewis ) <eos>	throw ( alice , lewis ) <eos>
alice notices patricia <eos>	notice ( alice , patricia ) <eos>	notice ( alice , patricia ) <eos>
alice throws winnifred <eos>	throw ( alice , winnifred ) <eos>	throw ( alice , winnifred ) <eos>
alice throws samuel <eos>	throw ( alice , samuel ) <eos>	throw ( alice , samuel ) <eos>
alice throws yvette <eos>	throw ( alice , yvettte ) <eos>	throw ( alice , yvettte ) <eos>
alice notices francis <eos>	notice ( alice , francis ) <eos>	notice ( alice , francis ) <eos>
alice notices grace <eos>	notice ( alice , grace ) <eos>	notice ( alice , grace ) <eos>
alice throws daniel <eos>	throw ( alice , daniel ) <eos>	throw ( alice , daniel ) <eos>
alice meets isla <eos>	meet ( alice , isla ) <eos>	meet ( alice , isla ) <eos>
alice likes eliza <eos>	like ( alice , eliza ) <eos>	like ( alice , eliza ) <eos>
alice notices katherine <eos>	notice ( alice , katherine ) <eos>	notice ( alice , katherine ) <eos>
alice throws claire <eos>	throw ( alice , claire ) <eos>	throw ( alice , claire ) <eos>
alice likes bob <eos>	like ( alice , bob ) <eos>	like ( alice , bob ) <eos>
alice knows patricia <eos>	know ( alice , patricia ) <eos>	know ( alice , patricia ) <eos>
alice likes grace <eos>	like ( alice , grace ) <eos>	like ( alice , grace ) <eos>
alice likes patricia <eos>	like ( alice , patricia ) <eos>	like ( alice , patricia ) <eos>
alice throws neha <eos>	throw ( alice , neha ) <eos>	throw ( alice , neha ) <eos>
alice dislikes john <eos>	dislike ( alice , john ) <eos>	dislike ( alice , john ) <eos>
alice notices henry <eos>	notice ( alice , henry ) <eos>	notice ( alice , henry ) <eos>
alice meets ursula <eos>	meet ( alice , ursula ) <eos>	meet ( alice , ursula ) <eos>
alice knows quinn <eos>	know ( alice , quinn ) <eos>	know ( alice , quinn ) <eos>
alice meets lewis <eos>	meet ( alice , lewis ) <eos>	meet ( alice , lewis ) <eos>
alice knows claire <eos>	know ( alice , claire ) <eos>	know ( alice , claire ) <eos>
alice sees ursula <eos>	see ( alice , ursula ) <eos>	see ( alice , ursula ) <eos>
alice notices oswald <eos>	notice ( alice , oswald ) <eos>	notice ( alice , oswald ) <eos>
alice notices eliza <eos>	notice ( alice , eliza ) <eos>	notice ( alice , eliza ) <eos>
alice notices rachael <eos>	notice ( alice , rachael ) <eos>	notice ( alice , rachael ) <eos>
alice throws herself <eos>	throw ( alice , alice ) <eos>	throw ( alice , alice ) <eos>
alice meets samuel <eos>	meet ( alice , samuel ) <eos>	meet ( alice , samuel ) <eos>
alice dislikes henry <eos>	dislike ( alice , henry ) <eos>	dislike ( alice , henry ) <eos>
alice likes francis <eos>	like ( alice , francis ) <eos>	like ( alice , francis ) <eos>
alice notices alice <eos>	notice ( alice , alice ) <eos>	notice ( alice , alice ) <eos>
alice likes samuel <eos>	like ( alice , samuel ) <eos>	like ( alice , samuel ) <eos>
alice sees eliza <eos>	see ( alice , eliza ) <eos>	see ( alice , eliza ) <eos>
alice notices isla <eos>	notice ( alice , isla ) <eos>	notice ( alice , isla ) <eos>
alice knows ursula <eos>	know ( alice , ursula ) <eos>	know ( alice , ursula ) <eos>
alice meets oswald <eos>	meet ( alice , oswald ) <eos>	meet ( alice , oswald ) <eos>
alice meets neha <eos>	meet ( alice , neha ) <eos>	meet ( alice , neha ) <eos>
alice meets eliza <eos>	meet ( alice , eliza ) <eos>	meet ( alice , eliza ) <eos>
alice meets herself <eos>	meet ( alice , alice ) <eos>	meet ( alice , alice ) <eos>
alice dislikes herself <eos>	dislike ( alice , alice ) <eos>	dislike ( alice , alice ) <eos>
alice sees grace <eos>	see ( alice , grace ) <eos>	see ( alice , grace ) <eos>
alice knows isla <eos>	know ( alice , isla ) <eos>	know ( alice , isla ) <eos>
alice likes alice <eos>	like ( alice , alice ) <eos>	like ( alice , alice ) <eos>
alice knows herself <eos>	know ( alice , alice ) <eos>	know ( alice , alice ) <eos>
alice sees victor <eos>	see ( alice , victor ) <eos>	see ( alice , victor ) <eos>
alice likes henry <eos>	like ( alice , henry ) <eos>	like ( alice , henry ) <eos>
alice notices xerxes <eos>	notice ( alice , xerxes ) <eos>	notice ( alice , xerxes ) <eos>
alice meets tracy <eos>	meet ( alice , tracy ) <eos>	meet ( alice , tracy ) <eos>
alice notices bob <eos>	notice ( alice , bob ) <eos>	notice ( alice , bob ) <eos>
alice dislikes eliza <eos>	dislike ( alice , eliza ) <eos>	dislike ( alice , eliza ) <eos>
alice sees claire <eos>	see ( alice , claire ) <eos>	see ( alice , claire ) <eos>
alice meets claire <eos>	meet ( alice , claire ) <eos>	meet ( alice , claire ) <eos>
alice dislikes isla <eos>	dislike ( alice , isla ) <eos>	dislike ( alice , isla ) <eos>
alice knows rachael <eos>	know ( alice , rachael ) <eos>	know ( alice , rachael ) <eos>
alice dislikes lewis <eos>	dislike ( alice , lewis ) <eos>	dislike ( alice , lewis ) <eos>
alice sees xerxes <eos>	see ( alice , xerxes ) <eos>	see ( alice , xerxes ) <eos>
alice knows yvette <eos>	know ( alice , yvettte ) <eos>	know ( alice , yvettte ) <eos>
alice sees lewis <eos>	see ( alice , lewis ) <eos>	see ( alice , lewis ) <eos>
alice throws quinn <eos>	throw ( alice , quinn ) <eos>	throw ( alice , quinn ) <eos>
alice dislikes bob <eos>	dislike ( alice , bob ) <eos>	dislike ( alice , bob ) <eos>
alice notices samuel <eos>	notice ( alice , samuel ) <eos>	notice ( alice , samuel ) <eos>
alice meets winnifred <eos>	meet ( alice , winnifred ) <eos>	meet ( alice , winnifred ) <eos>
